gene,mean_ovarian carcinoma,mean_adjacent endometriosis,log2FC,pvalue,padj
DNAJC3,8.451823368586206,8.3089892866,0.14283408198620684,0.5674450531638677,0.6666102080857087
FKBP14,7.662563531551725,7.771991437,-0.10942790544827474,0.5760975462211932,0.6702673374304268
ZBTB17,6.867352094517241,6.957141558000001,-0.08978946348276029,0.6336661648359287,0.7270912485718672
EIF4A3,8.482229917068963,8.614534238100001,-0.13230432103103773,0.6369559698232886,0.7270912485718672
IFIT1,6.9645563974137925,6.74183203,0.2227243674137922,0.6480220143126724,0.7328099414190032
EDC4,6.718028922275862,6.656428184099999,0.06160073817586298,0.6547524897008703,0.7335652893870861
ASNS,8.256392111517242,8.1533999141,0.10299219741724208,0.7057508841814398,0.7813916038664791
DDX10,8.545004251965517,8.6003029122,-0.05529866023448271,0.710356003514981,0.7813916038664791
EIF2AK3,6.2414100725862065,6.1818452171,0.05956485548620627,0.7542904084406609,0.8222444992911708
IGFBP1,7.504293287965517,7.193237746300001,0.31105554166551563,0.7912423320359868,0.8548243051460215
CEBPB,7.764695526482758,7.6959965945999995,0.06869893188275888,0.8487150971108187,0.908801121685036
STAT3,11.011731831310342,11.047066754,-0.03533492268965688,0.8661325803265577,0.9170234466775109
ARFGAP1,8.317394254034483,8.2882271018,0.029167152234482074,0.8828973501277795,0.9170234466775109
EDEM1,9.149177226413792,9.120440416,0.02873681041379328,0.8834672199450396,0.9170234466775109
CNOT2,9.610597328034483,9.5955437798,0.015053548234483571,0.8867086219939568,0.9170234466775109
KDELR3,7.458140068206896,7.4102993772,0.04784069100689603,0.902279045859978,0.9252183436360791
KIF5B,10.787655633827589,10.775232673000001,0.012422960827587204,0.9323302600156681,0.9479996761503852
WIPI1,8.504309671586208,8.5249270266,-0.02061735501379225,0.942230894220716,0.950082818339222
HERPUD1,10.399321195379308,10.3823836688,0.01693752657930858,0.9596045970616761,0.9596045970616761
