gene,mean_ovarian carcinoma,mean_atypical endometriosis,log2FC,pvalue,padj
MTHFD2,8.641674731999998,7.831720042277778,0.8099546897222201,0.0017013646860581334,0.0038123171669080394
BAX,9.145374148448276,8.608618581333333,0.5367555671149429,0.0018675449392175061,0.004108598866278514
DCP2,9.288051663827586,9.592250618333333,-0.30419895450574685,0.0021116590409046886,0.004562691856240488
PARN,9.765448178827588,9.340775448166667,0.42467273066092126,0.0029823762395794306,0.0063310092103352825
RELA,8.002636957103448,8.363113947222221,-0.360476990118773,0.003157091784776257,0.006586346654447018
SLC30A5,6.865162106931034,6.365373883888889,0.49978822304214443,0.0033166049092627115,0.0068018507461150525
TATDN2,8.435452067172411,8.896860540888888,-0.4614084737164763,0.0035564816627010024,0.0071722380197803545
CHAC1,5.316497382931034,4.621361133833333,0.6951362490977004,0.004231963562837523,0.008394550673825251
ATP6V0D1,8.03627305837931,7.687352780777778,0.34892027760153166,0.004312503191872919,0.008416336874461666
CKS1B,8.945873060965516,8.215519177055555,0.7303538839099613,0.004477079877000911,0.008598835954239844
PAIP1,9.495261497862067,9.020593235555557,0.47466826230651016,0.004716452177522202,0.008917042398127913
BANF1,7.078842871758622,6.673059404555556,0.405783467203066,0.0056774937826450265,0.010568873041539204
DNAJA4,8.790899504551724,7.951482076111112,0.8394174284406128,0.007993919039485847,0.014655518239057388
ERN1,6.465985217655173,6.981690283111111,-0.5157050654559381,0.00914143926035409,0.016509166425415594
NPM1,13.215426480689658,13.566624412222222,-0.35119793153256396,0.012348962702224332,0.021806953491374657
TRIB3,6.500760552482757,5.668157610722222,0.832602941760535,0.012435370172767366,0.021806953491374657
EIF4A3,8.482229917068963,7.920857416722224,0.5613725003467396,0.016083071249513834,0.0278007374455882
CALR,13.036761507241378,12.548344397222222,0.48841711001915655,0.0171377832458948,0.029206644686665787
SEL1L,9.227161427,9.638663744944445,-0.4115023179444446,0.023515046978945135,0.039518342839616125
DERL1,8.133526478448275,7.687979357611111,0.44554712083716375,0.02409890301735899,0.039944757056170385
